Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Ingredient 10,Ingredient 11,Ingredient 12,Ingredient 13,Ingredient 14,Ingredient 15,Ingredient 16,Ingredient 17,Ingredient 18,Ingredient 19,Ingredient 20,Ingredient 21,Ingredient 22,Ingredient 23,Ingredient 24,Ingredient 25,Ingredient 26,Ingredient 27,Ingredient 28,Ingredient 29,Ingredient 30,Ingredient 31,Ingredient 32,Ingredient 33,Ingredient 34,Ingredient 35,Ingredient 36,Ingredient 37,Ingredient 38,Ingredient 39,Ingredient 40,Ingredient 41,Ingredient 42,Ingredient 43,Ingredient 44,Ingredient 45,Ingredient 46,Ingredient 47,Ingredient 48,Ingredient 49,Ingredient 50,Ingredient 51,Ingredient 52,Ingredient 53,Ingredient 54,Ingredient 55,Ingredient 56,,,,,
3760141874553,Polvo Absorbente Pies Gamarde,35,Cuidado Personal;Cuidado Corporal;Manos y Pies,Certificación: Bio,9,,Triticum vulgare,talc,silica,Mentha piperita oil,Melaleuca alternifolia oil,Citrus medica limonum oil,citral,limonene,linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025089073161,Crema manos bio Goji Oliva Sante,100,Cuidado Personal;Cuidado Corporal;Manos y Pies,"Certificados: Natrue, BDIH",25,Aqua,Alcohol denat,Cocos Nucifera (Coconut) Oil,Butyrospermum Parkii (Shea Butter),Palmitic Acid,Stearic Acid,Olea Europaea (Olive) Fruit Oil,Isoamyl Laurate,Cetearyl Alcohol,Cetearyl Glucoside,Camellia Oleifera Seed Oil,Xanthan Gum,Sodium PCA,Betaine,Lycium Barbarum Fruit Extract,Glycerin,Sodium Lactate,Tocopherol,Helianthus Annuus (Sunflower) Seed Oil,Lactic Acid,Parfum (Essential Oils),Limonene,Citral,Geraniol,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5765228835883,Crema de Manos sin Perfume Urtekram,75,Cuidado Personal;Cuidado Corporal;Manos y Pies,,18,Aqua,aloe barbabensis leaf extract,prunus amygdalus dulcis oil,butyrospernum parkii butter,polyglyceryl-3 dicitrate/stearate,glycerin,cetyl alcohol,glyceryl stearate,zea mays starch,glyceryl caprylate,lysolecithin,simmondsia chinensis seed oil,oenothera biennis oil,xanthan gum,tocopherol,citric acid,beta-sitosterol,squalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4033981702034,Crema de Manos Echinacea EcoCosmetics,125,Cuidado Personal;Cuidado Corporal;Manos y Pies,Certificados: EcoCert,18,Echinacea Purpurea Extract,Caprylic/Capric Triglyceride,Glycerin,Alcohol,Simmondsia Chinensis Oil,Hydrogenated Coco Glycerides,Lecithin Hydrogenated,Butyrospermum Parkii Butter,Squalane,Punica Granatum Extract,Cocos Nucifera Oil,Vitis Vinifera Seed Oil,Xanthan Gum,Tocopherol,Parfum,Limonene,Linalool,Citronellol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5765228147658,Crema de manos abedul nórdico Urtekram,75,Cuidado Personal;Cuidado Corporal;Manos y Pies,"Certificados: EcoCert, Cruelty free international (CCIC y BUAV), Vegan",25,Aqua (Water),Aloe Barbadensis (Aloe Vera) Leaf Extract,Prunus Amygdalus Dulcis (Sweet Almond) Oil,Butyrospermum Parkii (Shea) Butter,Polyglyceryl-3 Dicitrate/stearate,Glycerin,zea mays (corn) starch,Cetyl Alcohol,Glyceryl Stearate SE,Lysolecithin,Glyceryl Caprylate,Betula Alba Bark leaf Extract,Zinc ricinoleate,Simmondsia Chinensis (Jojoba) Seed Oil,Xanthan Gum,Parfum (Fragrance),Limonene,Citral,Citronellol,Linalool,Geraniol,Magnolia Officinalis Bark Extract,Tocopherol,Beta-Sitosterol,Squalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025089076933,Crema Hidratante facial y corporal Granada Sante,150,Cuidado Personal;Cuidado Facial;Hidratantes,"Certificados: Natrue, BIO",30,Aqua (Water),Alcohol Denat,Cocos Nucifera (Coconut) Oil,Glycerin,Butyrospermum Parkii (Shea) Butter,Glycine Soja (Soybean) Oil,Palmitic Acid,Stearic Acid,Isoamyl Laurate,Vitis Vinifera (Grape) Seed Oil,Aloe Barbadensis Leaf Juice,Parfum (Essential Oils),Cetearyl Alcohol,Cetearyl Glucoside,Limonene,Prunus Amygdalus Dulcis (Sweet Almond) Oil,Punica Granatum Seed Extract,Ficus Carica (Fig) Fruit Extract,Sodium Lactate,Xanthan Gum,Tocopherol,Helianthus Annuus (Sunflower) Seed Oil,Lactic Acid,PCA Ethyl Cocoyl Arginate,Rosmarinus Officinalis (Rosemary) Leaf Extract,Linalool,Citral,Coumarin,citral,coumarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5765228835838,Crema Corporal Sin Perfume Urtekram,245,Cuidado Personal;Cuidado Corporal;Cremas Corporales,"EcoCert, Cosmos organic. Sin perfume (Ingrediente de Agricultura Orgánica, hecha con ingredientes orgánicos)",19,aqua,olea europaea oil,butyrospermum parkii,aloe barbadensis,polyglyceryl-3 stearate,glycerin,cetyl alcohol,coco-caprylate/caprate,zea mays starch,glyceryl caprylate,glyceryl stearate se,prunus armeniaca kernel oil,oenothera biennis,simmondsia chinensis oil,xanthan gum,citric acid,tocopherol,Beta Sitosterol,Phytosqualan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78522040026,Crema cara y cuerpo Aloe Vera 84% Jason,113,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,29,Aloe barbadensis leaf juice,aqua,helianthus annuus,seed oil,glycerin,stearic acid,cetyl alcohol,dimethicone,persea gratissima oil,prunus amygdalus dulcis oil,carbomer,methyl glucose sesquistearate,potassium cetyl phosphate,potassium hydroxide,sodium PCA,tocopheryl acetate,phenoxyethanol,potassium sorbate,sodium benzoate,amyl cinnamal,benzyl benzoate,benzyl salicylate,citral,geraniol,hexyl cinnamal,hydroxycitronellal,limonene,linalool,fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293005010,SHAMPOO DOVE RECONTRUCCIÓN COMPLETA,400,Cuidado Personal;Cuidado del Cabello;Shampoo,,31,AQUA,SODIUM LAURETH SULFATE,COCAMIDOPROPYL BETAINE,GLYCERIN,DIMETHICONOL,PARFUM,GLYCOL DISTEARATE,CARBOMER,GLUCONOLACTONE,COCAMIDE MEA,GUAR HYDROXYPROPYLTRIMONIUMCHLORIDE,SODIUM SULFATE,STYRENE/ACRYLATES COPOLYMER,TREHALOSE,MICA,TITANIUM DIOXIDE,DMDM HYDANTOIN,DISODIUM EDTA,PEG-45M,HYDROLYZED KERATIN,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,BENZYL SALICYLATE,BUTYLPHENYL METHYLPROPIONAL,CITRONELLOL,COUMARIN,HEXYL CINNAMAL,SODIUM CHLORIDE,PPG-9,CITRIC ACID,SODIUM HYDROXIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Desodorante Antitranspirante Roll On Mujer Rexona Clinical Classic,50,Cuidado Personal;Cuidado Corporal;Desodorante de Mujer,,8,Aqua,Aluminum Zirconium Tetrachlorohydrex Gly,Ppg-15 Stearyl Ether,Steareth-2,parfum,Steareth-21,Disodium Edta,Pentaerythrityl Tetra-di-t-butyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293036069,Desodorante Antitranspirante Aerosol Mujer Rexona Stay Fresh Bamboo & Aloe Vera,150,Cuidado Personal;Cuidado Corporal;Desodorante de Mujer,,24,Butane,Isobutane,Propane,Aluminum Chlorohydrate,Cyclomethicone,Ppg-14 Butyl Ether,Parfum,Disteardimonium Hectorite,Sodium Starch Octenylsuccinate,Maltodextrin,Hydrolyzed Corn Starch,Silica,Caprylic/capric Triglyceride,Hydrated Silica,Gelatin Crosspolymer,Aqua,Cellulose Gum,Sodium Benzoate,Propylene Carbonate,,Alpha-isomethyl Ionone,Benzyl Salicylate,Citronellol,Geraniol,Limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293032467,Desodorante Antitranspirante Aerosol Mujer Rexona Cotton Dry,150,Cuidado Personal;Cuidado Corporal;Desodorante de Mujer,,28,Butane,Isobutane,Propane,Aluminum Chlorohydrate,Cyclomethicone,Ppg-14 Butyl Ether,Parfum,Disteardimonium Hectorite,Sodium Starch Octenylsuccinate,Maltodextrin,Hydrolyzed Corn Starch,Silica,Caprylic/capric Triglyceride,Hydrated Silica,Gelatin Crosspolymer,Aqua,Cellulose Gum,Sodium Benzoate,Propylene Carbonate,Propylene Glycol Dicaprylate/dicaprate,Gossypium Herbaceum Extract,Benzyl Benzoate,Benzyl Salicylate,Butylphenyl Methylpropional,Citronellol,Geraniol,Hexyl Cinnamal,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293037790,DESODORANTE ANTIT EN AEROSOL REXONA FOREST 150ML,150,Cuidado Personal;Cuidado Corporal;Desodorante de Hombre,,16,BUTANE,ISOBUTANE,PROPANE,ALUMINUM CHLOROHYDRATE,CYCLOMETHICONE,PPG-14 BUTYL ETHER,PARFUM,DISTEARDIMONIUM HECTORITE,SODIUM STARCH OCTENYLSUCCINATE,HYDROLYZED CORN STARCH,BHT,GELATIN CROSSPOLYMER,PROPYLENE CARBONATE,CITRONELLOL,LIMONENE,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293032481,DESODORANTE ANTIT EN AEROSOL REXONA INVISIBLE,150,Cuidado Personal;Cuidado Corporal;Desodorantes,,27,BUTANE,ISOBUTANE,PROPANE,CYCLOMETHICONE,ALUMINUM CHLOROHYDRATE,PPG-14 BUTYL ETHER,PARFUM,DISTEARDIMONIUM HECTORITE,PROPYLENE CARBONATE,CAPRYLIC/CAPRIC TRIGLYCERIDE,HYDRATED SILICA,GELATIN CROSSPOLYMER,AQUA,CELLULOSE GUM,SODIUM BENZOATE,SODIUM STARCH OCTENYLSUCCINATE,MALTODEXTRIN,HYDROLYZED CORN STARCH,SILICA,ALPHA-ISOMETHYL IONONE,BENZYL SALICYLATE,BUTYLPHENYL METHYLPROPIONAL,CITRONELLOL,HEXYL CINNAMAL,HYDROXYCITRONELLAL,LIMONENE,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,EcoHair RECUPERACION CAPILAR - LOCION SPRAY,125,Cuidado Personal;Cuidado del Cabello;Tratamiento Capilar,CLINICAMENTE TESTEADO (): Eficacia del 84.6% en la recuperación capilar al día 90 de tratamiento. HIPOALERGÉNICO. CON INGREDIENTES DE ORIGEN NATURAL. NO IRRITA LA PIEL. NO CONTIENE ALCOHOL. SIN PARABENOS. LIBRE DE GLUTEN,6,Water,Glycerin,Coffea arabica bean extract,Larrea divaricata extract,Phenoxyethanol,Ethylhexylglycerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,EcoHair Shampoo Anti-caída,200,Cuidado Personal;Cuidado del Cabello;Shampoo,HIPOALERGENICO - Con ingredientes de origen natural. Uso diario para todo tipo de cabello. Libre de gluten,16,Water,Sodium laureth sulfate 70,Cocoamidepropyl betaine,Cocamide DEA,Coffea arabica bean extract,Larrea divaricata extract,Glycerin,PEG/PPG-22/23 Dimethicone,Amodimeticona,trideceth 5,trideceth 10,Phenoxyethanol,Ethylhexylglycerin,Sodium chloride,Polyquaternium-10,Citric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,EcoHair REPARADOR CAPILAR - BALSAMO ACONDICIONADOR,200,Cuidado Personal;Cuidado del Cabello;Acondicionador,HIPOALERGENICO. CON INGREDIENTES DE ORIGEN NATURAL. LIBRE DE GLUTEN,15,Water,Cetrimonium chloride,Cetearyl alcohol,Hydrolyzed keratin,Amodimeticone / morpholino-methyl,silsesquioxane,trideceth-5,glycerin,Dimethicone,Phenoxyethanol,Ethylhexylglycerin,Cyclopentasiloxane,dimethicone,Larrea divaricata extract,Coffea arabica bean extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,EcoHair SHAMPOO ANTICASPA,200,Cuidado Personal;Cuidado del Cabello;Shampoo,HIPOALERGENICO. LIBRE DE GLUTEN,18,Water,Cocoamidepropyl betaine,Sodium laureth sulfate,Glycerin,Glycol stearate,cocamide DEA,sodium laureth sulfate,Coffea arabica bean extract,PEG/PPG-22/23 Dimethicone,Amodimeticona,trideceth 5,trideceth 10,Phenoxyethanol,Ethylhexylglycerin,Glycol stearate,sodium laureth sulfate,Polyquaternium-10,citric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,UMANE CREMA,200,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,15,Water,Cetearyl alcohol,Sodium lauryl sulfate,Matricaria chamomilla extract,phospholipids,allantoin,aloe arborescens extract,hammamelis virginiana extract,tocopheryl acetate,Coffea arabica bean extract,Larrea divaricata extract,Glycerin,Phenoxyethanol,Ethylhexylglycerin,Retinyl palmitate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509546026800,Caprice Special Fall Control Shampoo,800,Cuidado Personal;Cuidado del Cabello;Shampoo,,6,Water,Lauryl Sulfate Ammonia,Lauret Sulfate Ammonia,Cocamide MEA,Behenyl Alcohol,Sodium Chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650240033476,Vanart 25 Fl. Oz. Classic Freshness Herbal Shampoo,739,Cuidado Personal;Cuidado del Cabello;Shampoo,,21,Water,Sodium Laureth Sulfate,Sodium Chloride,Cocamidopropyl Betaine,Ammonium Laureth sulfate,Cocamide MIPA,Polyquaternium-7,Fragrance,Citric Acid,Sodium Gluconate,Magnesium Nitrate,FD&C Yellow No5,Rosmarinus Officinalis Flower/leaf/steam Extract,Decolorized Aloe Barbadensis Leaf Extract,Panthenol,PEG-90M,FD&C Blue No.1,Methylchloroisothiazolinone,Magnesium Chloride,Methylisothiazolinone,Silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509546066417,Shampoo Palmolive Optims Therma Protect,700,Cuidado Personal;Cuidado del Cabello;Shampoo,,26,Agua,Lauril Sulfato de Amonio,Lauret Sulfato de Amonio,Dimeticona,MEA Cocamida Cloruro de sodio,Perfume,Glicerina,Diestearato de glicol,Cocamidopropil Betaina,Sorbitol,Cloruro de Guar Hidroxipropiltrimonio,Fosfato de sodio,Acido cítrico,EDTA tetrasódico,Lauret sulfosuccinato disódico,Estearil dimeticona PG-Dietonio cloruro,Benzoato de sodio,Salicilato de sodio,Policuaternio-6,Aceite de semilla de Camellia Sinensis,Aceite de semilla de Helianthus Annuus (Girasol),Aceite de semilla de Camellia Oleifera Queratina hidrolizada,Metilisotiazolinona,Aceite de almendra dulce (Prunus amygdalus dulcis),Aceite de semilla de uva (Vitis vinifera),Aceite de Argania spinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509546026114,Alert Shampoo 2 en 1. Control caspa,400,Cuidado Personal;Cuidado del Cabello;Shampoo,,13,Agua,Cocamidopropil betaína,amonio,DEA Cocamida,Copolímero de acrilatos,Dimeticona,Fragancia,Piritiona de Zinc,Policuaternio-10,Hidroxido de Sodio,Clorulo de Sodio,DMDH Hdantoína,Ácido Cítrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79400922809,Suave Naturals Refreshing Waterfall Mist Shampoo,443,Cuidado Personal;Cuidado del Cabello;Shampoo,,20,Water (Aqua),Ammonium Lauryl Sulfate,Ammonium Laureth Sulfate,Ammonium Chloride,Cocamide MEA,Fragrance (Parfum),PEG-5 Cocamide,Hydroxypropyl Methylcellulose,Polyquaternium-10,Tetrasodium EDTA,DMDM Hydantoin,Citric Acid,Tocopheryl Acetate (Vitamin E Acetate),Methylchloroisothiazolinone,Methylisothiazolinone,Spirulina Maxima Extract,Mentha Aquatica Leaf Extract,Nymphaea Alba Flower Extract,Blue 1 (CI 42090),Red 33 (CI 17200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71249207277,L'Oreal Paris Elvive Color Vibrancy Protecting Shampoo,490,Cuidado Personal;Cuidado del Cabello;Shampoo,,36,AQUA/WATER/EAU,SODIUM LAURETH SULFATE,COCO-BETAINE,SODIUM CHLORIDE,GLYCOL DISTEARATE,DIMETHICONE,PARFUM/ FRAGRANCE,SODIUM BENZOATE,HEXYLENE GLYCOL,COCAMIDE MIPA,SALICYLIC ACID,CARBOMER,ETHYLHEXYL METHOXYCINNAMATE,GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,ARGININE,GLUTAMIC ACID,LINALOOL,HEXYL CINNAMAL,NIACINAMIDE,TOCOPHEROL,DISODIUM EDTA,BENZOPHENONE-4,BENZYL SALICYLATE,SERINE,BENZYL ALCOHOL,HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN,LIMONENE,AMYL CINNAMAL,CITRONELLOL,POLY(LINSEED OIL),ALPHA-ISOMETHYL IONONE,METHYL COCOATE,SODIUM COCOATE,SODIUM HYDROXIDE,CITRIC ACID,F.I.L. D54877/2,,,,,,,,,,,,,,,,,,,,,,,,,
816559012926,"Alberto VO5 Normal Balancing Shampoo, 12.5 fl. oz",369,Cuidado Personal;Cuidado del Cabello;Shampoo,,18,Water,Sodium Lauryl Sulfate,Cocamidopropyl Betaine,Sodium Laureth Sulfate,Ammonium Chloride,Fragrance,Methylchloroisothiazolinone,Methylisothiazolinone,Tetrasodium EDTA,Citric Acid,Sodium Chloride,Polysorbate-20,Panthenol (Vitamin B5),Tocopheryl Acetate (Vitamin E),Ascorbic Acid (Vitamin C),Niacinamide (Vitamin B3),Biotin (Vitamin H),Yellow 6 (CI 15985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8906019231324,Barbie Conditioning Shampoo Long & Bouncy 200Ml,200,Cuidado Personal;Cuidado del Cabello;Shampoo,,20,sodium laureth sulphate,glycol distearate,cocomonoethanolamide,cocoamidopropylbetain,aqua,Polyqauternium-7,propylene glycol,silicon emulsion,sodium chloride,methylparaben,propylpraben,ethylparaben,butyl paraben,phenoxythanol,DMDM hydontain,lodopropylyn butyl carbamate) Hydrolyzed vegetable protein,Fragance,d- Panthenol,Guar Gum,CI 17200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37836084713,Champú Grisi manzanilla. Brillo luminoso. 13.5 Fl oz,399,Cuidado Personal;Cuidado del Cabello;Shampoo,,21,Water,Chamomilla Recutita (Matricaria) Extract,Sodium Laureth Sulfate,Ammonium Lauryl Sulfate,Cocamidopropyl Betaine,Polyqauternium-7,Cetrimonium Chloride,Sodium Chloride,PEG-7 Glyceryl Cocoate,Fragrance,DMDM Hydantoin,Lauryl Lactyl Lactate,Citric Acid,Sodium Lauroyl Glutamate,Polyquaternium-11,Wheat Amino Acids,Imidazolidinyl Urea,Tetrasodium EDTA,PEG-150,Caramel Coloring,Trimethylsilylamodimethicone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37836084836,Champú Grisi Kids manzanilla,328,Cuidado Personal;Cuidado del Cabello;Niños;Shampoo,,18,Aqua/water,Sodium Trideceth Sulfate,Lauramidopropyl Betaine,Chamomilla Recutita Extract,Chamomilla Recutita (Matricaria) Flower Extract,PEG-150 Distearate,Polyquaternium-7,Propanediol,Phenoxyethanol,Methylisothiazolinone,Parfum,Fragance,Polyquaternium-11,Caramel,Citric Acid,Limonene,CI 47005,D&C Yellow Nº 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71249237069,"L'Oreal Paris L'Oreal Kids Extra Gentle 2-in-1 Shampoo, Sunny Orange Swim",266,Cuidado Personal;Cuidado del Cabello;Niños;Shampoo,,22,Aqua/Water/Eau,Sodium Laureth Sulfate,PEG-200 Hydrogenated Glyceryl Palmate,Disodium Cocoamphodiacetate,Polysorbate 20,PEG-7 Glyceryl Cocoate,Hexylene Glycol,Disodium Ricinoleamido Mea-Sulfosuccinate,Sodium Chloride,Parfum/Fragrance,Sodium Benzoate,Sodium Laureth-8 Sulfate,Polyquaternium-10,Salicylic Acid,Magnesium Laureth-8 Sulfate,Magnesium Laureth Sulfate,Sodium Oleth Sulfate,Magnesium Oleth Sulfate,CI 47005/Yellow 10,CI 14700/ Red 4,Sodium Hydroxide,Citric Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381371178353,Johnson's CottonTouch Newborn Baby Wash & Shampoo,801,Cuidado del Bebé;Para el Baño,,13,Water,Cocamidopropyl Betaine PEG-80 Sorbitan Laurate,Decyl Glucoside,Cotton,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Phenoxyethanol,Sodium Benzoate,Fragrance,Coco-Glucoside,Glyceryl Oleate,Sodium Hydroxide,Ethylhexyglycerin,Tetrasodium Glutamate Diacertate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Diana Shampoo Rich in Natural Proteins,1000,Cuidado Personal;Cuidado del Cabello;Shampoo,,22,Aqua,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Cocamide DEA,Sodium Chloride,Hydrolyzed Collagen,Hydrolyzed Keratin,Hydrolyzed Wheat Protein,Glycol Distearate,Cocamide MEA,Laureth-10,Tetrasodium EDTA,Propylene Glycol,Butylene Glycol, Phenoxyethanol, Ethylhexylglycerin,Imidazolidinyl Urea,Phenylpropanol,Methylisothiazolinone,Parfum,CI14720,CI19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603084491254,"Garnier Fructis Sleek & Shine Shampoo, Frizzy, Dry, Unmanageable Hair 12.5 fl. oz",369,Cuidado Personal;Cuidado del Cabello;Shampoo,,35,Aqua (Water),Sodium Laureth Sulfate,Coco-Betaine,Sodium Chloride,Laureth-5 Carboxylic Acid,Cocamide MIPA,Amodimethicone,Fragrance,Sodium Benzoate,Hexylene Glycol,Polyquaternium-7,Pyrus Malus Extract (Apple Fruit Extract),PEG-55 Propylene Glycol Oleate,Propylene Glycol,Salicylic Acid,PEG-60,Hydrogenated Castor Oil,Niacinamide,Pyridoxine HCI,Hexyl Cinnamal,Citric Acid,Saccharum Officinarum Extract (Sugar Cane Extract),Benzyl Alcohol,Linalool,Amyl Cinnamal,Argania Spinosa Oil,Hydroxypropyltrimonium Lemon Protein,Tocopherol,Phenoxyethanol,Citrus Limon Peel Extract (Lemon Peel Extract),Leuconostoc/Radish Root Ferment Filtrate,Camellia Sinensis Leaf Extract,Cl 19140 (Yellow 5),Cl 14700 (Red 4),Sodium Hydroxide,,,,,,,,,,,,,,,,,,,,,,,,,,
603084542321,Garnier Fructis Pure Clean Fortifying Shampoo,369,Cuidado Personal;Cuidado del Cabello;Shampoo,,32,Aqua/Water/Eau,Sodium Laureth Sulfate,Coco-Betaine,Glycerin,Sodium Chloride,Hexylene Glycol,Polyquaternium-10,Sodium Benzoate,Parfum/Fragrance,PEG 60,Hydrogenated Castor Oil,Pyrus Malus Fruit Extract,Apple Fruit Extract,Salicylic Acid,Aloe Barbadensis Leaf Juice,Linalool,Niacinamide,Pyridoxine HCl,Hexyl Cinnamal,Citric Acid,Saccharum Officinarum Extract/Sugar Cane Extract/Extrait De Canne a Sucre,Sodium Acetate,Hydroxypropyltrimonium Lemon Protein,Isopropyl Alcohol,Tocopherol,Phenoxyethanol,Citrus Limon Peel Extract/Lemon Peel Extract,Leuconostoc/Radish,Root Ferment Filtrate,Camellia Sinensis Leaf Extract,Potassium Sorbate,Sodium Hydroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603084491452,Garnier Fructis Color Shield Fortifying Shampoo for Color-Treated Hair 12.5 fl. oz,369,Cuidado Personal;Cuidado del Cabello;Shampoo,,42,AQUA/WATER/EAU,SODIUM LAURETH SULFATE,COCO-BETAINE,SODIUM CHLORIDE,GLYCOL DISTEARATE,DIMETHICONE,PARFUM/FRAGRANCE,SODIUM BENZOATE,HEXYLENE GLYCOL,COCAMIDE MIPA,PYRUS MALUS FRUIT EXTRACT/APPLE FRUIT EXTRACT,SALICYLIC ACID,CARBOMER,ETHYLHEXYL METHOXYCINNAMATE,GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,LINALOOL,NIACINAMIDE,PYRIDOXINE HCL,BENZOPHENONE-4,CITRIC ACID,HEXYL CINNAMAL,BENZYL ALCOHOL,SACCHARUM OFFICINARUM EXTRACT/SUGAR CANE EXTRACT/EXTRAIT DE CANNE A SUCRE,BENZYL SALICYLATE,CITRONELLOL,VITIS VINIFERA SEED OIL/GRAPE SEED OIL,AMYL CINNAMAL,EUTERPE OLERACEA FRUIT EXTRACT,HYDROXYPROPYLTRIMONIUM LEMON PROTEIN,FUMARIC ACID,MALTODEXTRIN,PHENOXYETHANOL,CITRUS LIMON PEEL EXTRACT/LEMON PEEL EXTRACT,LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE,CAMELLIA SINENSIS LEAF EXTRACT,CI 17200/RED 33,BHT,TOCOPHEROL,HELIANTHUS ANNUUS SEED OIL/SUNFLOWER SEED OIL,ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT,SODIUM HYDROXIDE,F.I.L.# D192583/1,,,,,,,,,,,,,,,,,,,
3600521707128,L'Oreal Elvive Total Repairs Acondicionador,250,Cuidado Personal;Cuidado del Cabello;Acondicionador,,28,AQUA / WATER,CETEARYL ALCOHOL,DICETYLDIMONIUM CHLORIDE,CETRIMONIUM CHLORIDE,SODIUM BENZOATE,PHENOXYETHANOL,STEARETH-6,ACETIC ACID,PEG-100 STEARATE,TRIDECETH-10,TRIDECETH-3,TRISODIUM HEDTA,CHLORHEXIDINE DIGLUCONATE,CALENDULA OFFICINALIS FLOWER EXTRACT,DIMETHICONE,LIMONENE,LINALOOL,BENZYL SALICYLATE,BENZYL ALCOHOL,ISOPROPYL ALCOHOL,AMODIMETHICONE,PROPYLENE GLYCOL,"2-OLEAMIDO-1,3-OCTADECANEDIOL",TARTARIC ACID,CETYL ESTERS,BUTYLPHENYL METHYLPROPIONAL,HEXYL CINNAMAL,PARFUM / FRAGRANCE (F.I.L. C209461/2).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
