Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Ingredient 10,Ingredient 11,Ingredient 12,Ingredient 13,Ingredient 14,Ingredient 15,Ingredient 16,Ingredient 17,Ingredient 18,Ingredient 19,Ingredient 20,Ingredient 21,Ingredient 22,Ingredient 23,Ingredient 24,Ingredient 25,Ingredient 26,Ingredient 27,Ingredient 28,Ingredient 29,Ingredient 30,Ingredient 31,Ingredient 32,Ingredient 33,Ingredient 34,Ingredient 35,Ingredient 36,Ingredient 37,Ingredient 38,Ingredient 39,Ingredient 40,Ingredient 41,Ingredient 42,Ingredient 43,Ingredient 44,Ingredient 45,Ingredient 46,Ingredient 47,Ingredient 48,Ingredient 49,Ingredient 50,Ingredient 51,Ingredient 52,Ingredient 53,Ingredient 54,Ingredient 55,Ingredient 56,,,,,
7500435013796,PANTENE Acondicionador Pro-V Hidratacion Extrema,400ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,18,AQUA,GLYCERIN,STEARYL ALCOHOL,BEHENTRIMONIUM METHOSULFATE,BIS-AMINOPROPYL DIMETHICONE,CETYL ALCOHOL,Parfum,DICETYLDIMONIUM CHLORIDE,BENZYL ALCOHOL,DISODIUM EDTA,HISTIDINE,PANTHENOL,PANTHENYL ETHYL ETHER,CITRIC ACID,HEXYL CINNAMAL,HYDROXYCITRONELLAL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790010602013,Johnson's Baby Acondicionador Gotas de Brillo,,Cuidado del Bebé;Para el Baño,Hypoallergenic No addition of phthalates and formaldehyde donor preservatives,15,Aqua,Alcohol,Cetrimonium Chloride,Glycerin,Hydroxyethylcellulose,Cetyl Palmitate,Coco-Glucoside,Glyceryl Oleate,Dicaprylyl Carbonate,Citric Acid,Parfum,Polyquaternium-39,Behentrimonium Chloride,Silk Amino Acids,Argania Spinosa Kernel Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75027513,Desodorante para Mujer Dove,50 gr,Cuidado Personal;Cuidado Corporal;Desodorante de Mujer,Contiene microplásticos,24,CYCLOMETHICONE,ALUMINUM ZIRCONIUM,TETRACHLOROHYDREX GLY,STEARYL ALCOHOL,C12-15 ALKYL BENZOATE,PPG-14 BUTYL ETHER,HYDROGENATED CASTOR OIL,PEG-8,PARFUM,DIMETHICONE,POLYETHYLENE,SILICA,HELIANTHUS ANNUUS SEED OIL,STEARETH-100,BHT,ALPHA-ISOMETHYL IONONE,BENZYL BENZOATE,BENZYL SALICYLATE,BUTYLPHENYL METHYLPROPIONAL,CITRONELLOL,GERANIOL,HEXYL CINNAMAL,HYDROXYCITRONELLAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293037660,Lux Jabón Lí­quido Rosas Francesas,220 ml,Cuidado Personal;Cuidado Corporal;Jabones,Sin parabenos,31,AQUA,SODIUM LAURETH SULFATE,SODIUM CHLORIDE,COCAMIDE MEA,PARFUM,ACRYLATES COPOLYMER,GLYCERIN,GLYCOL DISTEARATE,BENZOPHENONE-4,DMDM HYDANTOIN,TETRASODIUM EDTA,BHT,CITRIC ACID,SODIUM HYDROXIDE,PPG-9,ROSA GALLICA FLOWER EXTRACT,JASMINUM OFFICINALE FLOWER EXTRACT,PRUNUS AMYGDALUS DULCIS OIL,NELUMBIUM SPECIOSUM FLOWER OIL,METHYLCHLOROISOTHIAZOLINONE,HYDROLYZED SILK,MENTHA ARVENSIS LEAF OIL,CYMBOPOGON MARTINI OIL,METHYLISOTHIAZOLINONE,CI 17200,ALPHA-ISOMETHYL IONONE,BENZYL SALICYLATE,BUTYLPHENYL METHYLPROPIONAL,GERANIOL,HEXYL CINNAMAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293037684,Lux Jabón Lí­quido Orquí­dea Negra,220 ml,Cuidado Personal;Cuidado Corporal;Jabones,Sin parabenos,29,AQUA,SODIUM LAURETH SULFATE,SODIUM CHLORIDE,COCAMIDE MEA,PARFUM,GLYCERIN,BENZOPHENONE-4,DMDM HYDANTOIN,TETRASODIUM EDTA,BHT,SODIUM HYDROXIDE,PPG-9,ROSA GALLICA FLOWER EXTRACT,JASMINUM OFFICINALE FLOWER EXTRACT,PRUNUS AMYGDALUS DULCIS OIL,NELUMBIUM SPECIOSUM FLOWER OIL,CI 17200,METHYLCHLOROISOTHIAZOLINONE,HYDROLYZED SILK,MENTHA ARVENSIS LEAF OIL,CYMBOPOGON MARTINI OIL,CI 42090,METHYLISOTHIAZOLINONE,BUTYLPHENYL METHYLPROPIONAL,CITRONELLOL,COUMARIN,GERANIOL,HEXYL CINNAMAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750043501232,ACOND PANTENE HIDRATACION MAX,200 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,14,Aqua,stearyl alcohol,behentrimonium chloride,cetyl alcohol,bis-aminopropyl dimethicone,parfum,benzyl alcohol,disodium edta,panthenol,panthenyl ethyl ether,hexyl cinnamal,hydroxycitronellal,methylchloroisothiazolinone,methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750043502287,Shampoo Pantene Pro-V Hidratacion Extrema,300 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,,21,Agua,Sodium Lauryl Sulfate,Sodium Laureth Sulfate,Methylisothiazolinone,Cocamidopropyl Betaine,Glycol Distearate,Dimethicone,Sodium Citrate,Cocamide Mea,Parfum,Sodium Xylenesulfonate,Citric Acid,Sodium Benzoate,Sodium Chloride,Tetrasodium Edta,Trisodium Ethylenediamine Disuccinate,Hexyl Cinnamal,Panthenol,Panthenyl Ethyl Ether,Hydroxycitronellal,Methylchloroisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7506195131664,Oral B Crema Dental Complete 4en1,140 gr,Cuidado Personal;Cuidado Oral;Crema Dental,,16,Aqua,Sorbitol,Silica,Disodium Pyrophosphate,Sodium Lauryl Sulfate,Cellulose Gum,Aroma,Sodium Hydroxide,Sodium Saccharin,Carbomer,Xanthan Gum,Titanium Dioxide,Eugenol,Glycerin,Blue Pigment 15 (CI 74160),Sodium Fluoride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7793100111877,Colgate Crema Dental Colgate Triple Acción Menta Original,90 gr,Cuidado Personal;Cuidado Oral;Crema Dental,11% Sodium Monofluorophosphate (1450 ppm fluorine),18,Sodium Monofluorophosphate,Aqua,Glycerin,Sodium Lauryl Sulfate,Sodium Monofluorophosphate,Aroma,Cellulose Gum,Sodium Bicarbonate,Tetrasodium Pyrophosphate,Benzyl Alcohol,Sodium Saccharin,Xanthan Gum,Sodium Hydroxide,Sodium Hydroxide,CI 74160,CI 74260,Limonene,Calcium Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790010616751,Carefree Protectores Diarios Todos los Dias,,Cuidado Personal;Protección Femenina;Protectores Diarios,Contiene microplásticos,6,Cellulose Fibers,Thermoplastic Adhesives,Polypropylene,Polypropylene Fibers with Cotton Extract,Silicone Tape,Neutralizing Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790010570602,Johnson's Baby Shampoo Protección UV,200 ml,Cuidado del Bebé;Para el Baño,,17,Aqua,Cocamidopropyl betaine,Caco-Glucoside,Sodium Methyl 2 Sulfolaurate/Disodium 2-Sulfolaurate,Cetyl Betaine,Citric Acid,Polyquaternium-7,Sodium benzoate,Parfum,Tetrasodium Glutamate Diacetate,Tetrasodium EDTA,Propylene Glycol,Rosmarinus Officinalis leaf Extract,Melanin,CI 17200,CI 16035,CI 42090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7896015519223,Sensodyne blanqueador extra fresh,50 gr,Cuidado Personal;Cuidado Oral;Crema Dental,Sodium Fluoride (contiene 1384 ppm de ion flúor). Potassium nitrate 5 %,16,Sodium Fluoride,Potassium nitrate,aqua,hydrated silica,glycerin,pentasodium triphosphate,PEG-6,PEG-2,Aroma,Titanium dioxide,sodium methyl cocoyl taurate,cocamidopropyl betaine,xanthan gum,sodium hydroxide,sodium saccharin,contiene fluoruro de sodio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7891150044555,BABY DOVE SHAMPOO CABELLOS RIZADOS CON ACEITE DE COCO,200 ml,Cuidado del Bebé;Para el Baño,,13,Aqua,Glycerin,cocamidopropylbetaine,sodium glycinate,polyacrylate-33,parfum,tallowate,tetrasodium EDTA,sodium isethionate,sodium stearate,cocos nucifera oil,sodium cocoate,sodium plamkernelate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7891150036390,baby dove acondicionador humectacion enriquecida,200 ml,Cuidado del Bebé;Para el Baño,,13,Aqua,cetearyl alcohol,stearamidopropyl dimethylamine,dimethiconol,behentrimonium chloride,phenoxyethanol,sodium benzoate,lactic acid,potassium chloride,parfum,disodium EDTA,glycerin,PEG-150 distearate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790010684224,Johnson´s baby colonia fresca caricia,100 ml,Cuidado del Bebé;Para Antes o Después del Baño,,14,Agua,Alcohol,Parfum,Benzyl Alcohol,Benzyl Benzoate,Benzyl Salicylate,Butylphenyl Methylpropional,Citronellol,Geraniol,Hydroxycitronellal,Isoeugenol,d-limonene,Linalool,CI 47005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7898422746759,JABON DE TOCADOR DOVE CREMOSO,90 gr,Cuidado Personal;Cuidado Corporal;Jabones,,23,Sodium lauroyl isethionate,stearic acid,sodium stearate,sodium oleate,sodium palmitate,sodium linoleate,sodium myristate,aqua,sodium isethionate,lauric acid,cocamidopropyl betaine,parfum,sodium chloride,titanium dioxide,zinc oxide,tetrasodium EDTA,etidronic acid,alpha-isometyl ionone,butylphenyl methylpropional,citronellol,coumarin,hexyl cinnamal,limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
