codigo,descripcion,presentacion,rubro_id,observaciones,numero_ingredientes,x0,x1,x2,x3,x4
7790299000081,Crema SAPOLAN ferrini Tradicional,145 gr,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,6,,,,,
7791293034553,Gel Dental Close Up White Attraction Men,90 gr/67 ml,Cuidado Personal;Cuidado Oral;Crema Dental,Contiene sacarina Recomendado solo para mayores de 12 años El producto puede provocar algunas manchas en los tejidos,18,,,,,
7500435128612,PANTENE Shampoo Micelar Purifica & hidrata,,Cuidado Personal;Cuidado del Cabello;Shampoo,,20,,,,,
7896015527457,Parodontax Flúor,90 gr,Cuidado Personal;Cuidado Oral;Crema Dental,,15,,,,,
7798214898706,JACTAN'S Máscara Facial Regeneradora anti age con colágeno,,Cuidado Personal;Cuidado Facial;Hidratantes,,29,,,,,
7798335830029,Dulce Carola Revitalizante Máscara peel off exfoliante,10 ml,Cuidado Personal;Cuidado Facial;Limpieza Facial,"Puede contener: Prunus Amigdalus Dulcis (sweet almod) Oil, Royal Jelly Extract, CI 77019/CI 77891, Mica, Titanium Dioxide, Iron Oxides y otros",19,,,,,
77959966,Farma Clean Máscara Puntos Negros (con carbón activado de bambú),7 gr,Cuidado Personal;Cuidado Facial;Antiacné,"Puede contener: Fragance (Amyl Cinnamal, Benzyl Salicylate, Citral, Coumarin, Limonene, Linalool)",13,,,,,
7791293037813,Rexona Clinical Aerosol Classic,,Cuidado Personal;Cuidado Corporal;Desodorante de Hombre,,22,,,,,
7791293037844,Rexona Men Clinical Aerosol,110 ml-67 gr,Cuidado Personal;Cuidado Corporal;Desodorante de Hombre,,22,,,,,
7891150023420,ACONDICIONADOR DOVE FUERZ HIDRA,200 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,17,,,,,
7891024136096,COLGATE PLAX ICE,250 ml,Cuidado Personal;Cuidado Oral;Enjuague Bucal,Contiene 225 ppm de Fluor,15,,,,,
4005808041817,Nivea Body Crema Hidratante,125 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,14,,,,,
7891150008991,DOVE SHAMPHIDRINTENSA,200 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,,27,,,,,
7794490630245,ETIQUET CLASICO,60 gr,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,20,,,,,
7791520004151,JABON DE GLICERINA VERITAS MENTA Y EUCALIPTO,120 gr,Cuidado Personal;Cuidado Corporal;Jabones,,16,,,,,
4005808881512,NIVEA BODYCELULITIS,200 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,20,,,,,
7798064430224,CREMA PARA MANOS Y CUERPO REGENERACIPON INTENSIVA ORDEÑE EVO (265ml),265 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Pieles dañadas Vitamina A + Aloe vera,22,,,,,
7794207084118,MIDERMUS CREMA DE ORDEí‘E NUTRITIVA HUMECTANTE VITAMINA A&E (250gr),250 gr,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Alantoina & Aloe Vera,21,,,,,
7794207084095,MIDERMUS CREMA DE ORDEí‘E NUTRITIVA HUMECTANTE VITAMINA A&E (150gr),150 gr,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Alantoina & Aloe Vera,21,,,,,
7798064434284,CREMA PARA MANOS Y CUERPO REGENERACIPON INTENSIVA ORDEÑE EVO (500ml),500 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Pieles dañadas Vitamina A+Aloe vera,22,,,,,
7790375004378,BAGOVIT A CUIDADOS COTIDIANOS EFECTO SEDA,200 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Con Vitamina A y partí­culas de Zafiro Blanco,42,,,,,
7791520006155,CREMA CORPORAL VERITAS,400 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,"piel normal, hipoalergénica",31,,,,,
7798095410974,KLORANE AMANDE,200 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,Suavidad y Tonicidad,23,,,,,
3474630658448,KÉRASTASE DENSIFIQUE BAIN DENSITÉ,250 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Cabellos finos,26,,,,,
3337872413902,LIPIKAR GEL-FLUIDE LA ROCHE POSAY,400 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,"CON AGUA TERMAL LA ROCHE POSAY, SIN PARABENOS, PIELES SENSIBLES Y SECAS",19,,,,,
7891150062290,CLEAR SCALPFOODS SHAMPOO ANTICASPA (Detox Diario),200 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,;Sin Colorantes;Sin Parabenos;,26,,,,,
7898587761987,ELVIVE ACONDICIONADOR REPARACIÓN RÁPIDA,400 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,23,,,,,
7899026487093,CREMA DE TRATAMIENTO ELVIVE KERA-LISO,300 gr,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,27,,,,,
4017645008014,Champú Anticaspa Bio Logona,250 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,"Certificados y sellos: Natrue, BDIH, Vegano",19,,,,,
3474636349913,KÉRATASE DISCIPLINE OLEO CURL,150 ml,Cuidado Personal;Cuidado del Cabello;Tratamiento Capilar,,32,,,,,
7794640662553,Sensodyne Pro-Esmalte Blanqueador,113 gr,Cuidado Personal;Cuidado Oral;Crema Dental,,13,,,,,
7896015520526,Sensodyne Pro-Esmalte Crema Dental de Uso Diario,90 gr,Cuidado Personal;Cuidado Oral;Crema Dental,,15,,,,,
3014260279165,Oral B Stages Crema Dental Disney Princess,100 gr,Cuidado Personal;Cuidado Oral;Niños;Crema Dental,contiene 1100 ppm de Fluor Para niños Sin azúcar,14,,,,,
7793100111570,Colgate Crema Dental Máxima protección anticaries Sabor Original (90 gr),90 gr,Cuidado Personal;Cuidado Oral;Crema Dental,11% Sodium Monofluorophosphate (1450 ppm de flúor). Con calcio,13,,,,,
7793100111563,Colgate Crema Dental Máxima protección anticaries Sabor Original (180 gr),180 gr,Cuidado Personal;Cuidado Oral;Crema Dental,11% Sodium Monofluorophosphate (1450 ppm de flúor). Con calcio.,13,,,,,
7500435127363,Oral B Kids Crema Dental,50 gr,Cuidado Personal;Cuidado Oral;Niños;Crema Dental,contiene 1100 ppm de Fluor Para niños Sin azúcar,19,,,,,
3499320003223,Cetaphil Emulsión Hidratante,473 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,Sin perfumes,17,,,,,
91,Cetaphil Crema para manos,85 ml,Cuidado Personal;Cuidado Corporal;Manos y Pies,,17,,,,,
3499320005302,Cetaphil Crema Hidratante 453 ml,453 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,20,,,,,
93,Cetaphil Crema Hidratante 250 ml,250 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,20,,,,,
94,Cetaphil Loción Ultra Humectante,226 ml,Cuidado Personal;Cuidado Corporal;Cremas Corporales,,17,,,,,
3499320009737,Crema facial hidratante de Noche con Ácido Hialurónico,48 gr,Cuidado Personal;Cuidado Facial;Hidratantes,,34,,,,,
96,Loción facial hidratante de dí­a con Ácido Hialurónico,88 ml,Cuidado Personal;Cuidado Facial;Hidratantes,,16,,,,,
98,NATURAL FRO SHAMPOO SÓLIDO,85 gr,Cuidado Personal;Cuidado del Cabello;Shampoo,Cabello graso,8,,,,,
101,Cetaphil sun after sun repaire loción liposomal,100 ml,Cuidado Personal;Cuidado Corporal;Lociones Corporales,,19,,,,,
